rider_no,rider_name,manufacturer,team,nation,run_no,front_tyre,rear_tyre,lap_no,lap_time_s,t1,t2,t3,t4,speed,pit,cancelled
21,Franco MORBIDELLI,YAMAHA,Petronas Yamaha SRT,,1,Slick-Hard,Slick-Hard,1,149.58,42.632,35.061,30.943,33.122,106.4,False,False
21,Franco MORBIDELLI,YAMAHA,Petronas Yamaha SRT,,1,Slick-Hard,Slick-Hard,2,117.714,26.068,30.602,29.011,32.033,339.6,False,False
21,Franco MORBIDELLI,YAMAHA,Petronas Yamaha SRT,,1,Slick-Hard,Slick-Hard,3,116.337,25.578,30.349,28.571,31.839,339.6,False,True
21,Franco MORBIDELLI,YAMAHA,Petronas Yamaha SRT,,1,Slick-Hard,Slick-Hard,4,116.618,25.431,30.567,28.788,31.832,339.6,False,False
21,Franco MORBIDELLI,YAMAHA,Petronas Yamaha SRT,,1,Slick-Hard,Slick-Hard,5,115.518,25.254,30.048,28.554,31.662,341.7,False,False
21,Franco MORBIDELLI,YAMAHA,Petronas Yamaha SRT,,1,Slick-Hard,Slick-Hard,6,115.576,25.238,30.084,28.456,31.798,341.7,False,False
21,Franco MORBIDELLI,YAMAHA,Petronas Yamaha SRT,,1,Slick-Hard,Slick-Hard,7,115.266,25.202,29.978,28.475,31.611,341.7,False,False
21,Franco MORBIDELLI,YAMAHA,Petronas Yamaha SRT,,1,Slick-Hard,Slick-Hard,8,124.327,29.566,33.907,30.076,30.778,341.7,True,False
21,Franco MORBIDELLI,YAMAHA,Petronas Yamaha SRT,,2,Slick-Hard,Slick-Hard,9,126.975,33.68,31.896,29.32,32.079,133.0,False,False
21,Franco MORBIDELLI,YAMAHA,Petronas Yamaha SRT,,2,Slick-Hard,Slick-Hard,10,115.94,25.47,30.062,28.666,31.742,341.7,False,False
21,Franco MORBIDELLI,YAMAHA,Petronas Yamaha SRT,,2,Slick-Hard,Slick-Hard,11,115.315,25.169,29.924,28.533,31.689,341.7,False,False
21,Franco MORBIDELLI,YAMAHA,Petronas Yamaha SRT,,2,Slick-Hard,Slick-Hard,12,115.092,25.107,29.866,28.448,31.671,341.7,False,False
21,Franco MORBIDELLI,YAMAHA,Petronas Yamaha SRT,,2,Slick-Hard,Slick-Hard,13,119.944,26.586,32.792,30.094,30.472,339.6,True,False
21,Franco MORBIDELLI,YAMAHA,Petronas Yamaha SRT,,3,Slick-Hard,Slick-Hard,14,126.636,33.17,32.111,29.501,31.854,154.2,False,False
21,Franco MORBIDELLI,YAMAHA,Petronas Yamaha SRT,,3,Slick-Hard,Slick-Hard,15,130.082,30.793,37.164,30.241,31.884,340.6,False,False
21,Franco MORBIDELLI,YAMAHA,Petronas Yamaha SRT,,3,Slick-Hard,Slick-Hard,16,114.921,25.166,29.815,28.384,31.556,342.8,False,False
21,Franco MORBIDELLI,YAMAHA,Petronas Yamaha SRT,,3,Slick-Hard,Slick-Hard,17,126.784,30.025,34.335,30.167,32.257,342.8,False,False
41,Aleix ESPARGARO,APRILIA,,SPA,1,Slick-Hard,Slick-Medium,1,175.803,31.209,31.793,29.485,32.422,178.8,False,False
41,Aleix ESPARGARO,APRILIA,,SPA,1,Slick-Hard,Slick-Medium,2,117.213,25.873,30.704,28.738,31.898,339.6,False,False
41,Aleix ESPARGARO,APRILIA,,SPA,1,Slick-Hard,Slick-Medium,3,116.061,25.711,30.098,28.559,31.693,340.6,False,False
41,Aleix ESPARGARO,APRILIA,,SPA,1,Slick-Hard,Slick-Medium,4,115.854,25.277,30.243,28.622,31.712,341.7,False,False
41,Aleix ESPARGARO,APRILIA,,SPA,1,Slick-Hard,Slick-Medium,5,115.57,25.269,30.117,28.566,31.618,341.7,False,False
41,Aleix ESPARGARO,APRILIA,,SPA,1,Slick-Hard,Slick-Medium,6,120.097,26.747,31.701,29.765,31.884,340.6,True,False
41,Aleix ESPARGARO,APRILIA,,SPA,2,Slick-Hard,Slick-Medium,7,123.272,31.054,31.173,29.106,31.939,167.9,False,False
41,Aleix ESPARGARO,APRILIA,,SPA,2,Slick-Hard,Slick-Medium,8,116.241,25.555,30.372,28.545,31.769,340.6,False,False
41,Aleix ESPARGARO,APRILIA,,SPA,2,Slick-Hard,Slick-Medium,9,115.802,25.422,30.164,28.488,31.728,340.6,False,False
41,Aleix ESPARGARO,APRILIA,,SPA,2,Slick-Hard,Slick-Medium,10,124.226,30.931,32.833,30.463,29.999,341.7,True,False
41,Aleix ESPARGARO,APRILIA,,SPA,3,Slick-Hard,Slick-Medium,11,124.784,32.495,30.95,28.964,32.375,157.8,False,False
41,Aleix ESPARGARO,APRILIA,,SPA,3,Slick-Hard,Slick-Medium,12,115.515,25.447,30.131,28.492,31.445,340.6,False,False
41,Aleix ESPARGARO,APRILIA,,SPA,3,Slick-Hard,Slick-Medium,13,115.107,25.297,29.882,28.379,31.549,340.6,False,False
41,Aleix ESPARGARO,APRILIA,,SPA,3,Slick-Hard,Slick-Medium,14,115.046,25.229,29.988,28.311,31.518,340.6,False,False
41,Aleix ESPARGARO,APRILIA,,SPA,3,Slick-Hard,Slick-Medium,15,123.511,30.38,31.273,28.463,33.395,340.6,False,False
43,Jack MILLER,DUCATI,,AUS,1,Slick-Medium,Slick-Medium,1,137.687,32.263,32.249,29.972,32.446,167.7,False,False
43,Jack MILLER,DUCATI,,AUS,1,Slick-Medium,Slick-Medium,2,116.683,25.711,30.483,28.827,31.662,343.9,False,False
43,Jack MILLER,DUCATI,,AUS,1,Slick-Medium,Slick-Medium,3,116.16,25.25,30.392,28.902,31.616,349.5,False,False
43,Jack MILLER,DUCATI,,AUS,1,Slick-Medium,Slick-Medium,4,115.862,25.45,30.144,28.66,31.608,350.6,False,False
43,Jack MILLER,DUCATI,,AUS,1,Slick-Medium,Slick-Medium,5,115.98,25.291,30.224,28.83,31.635,348.3,False,False
43,Jack MILLER,DUCATI,,AUS,1,Slick-Medium,Slick-Medium,6,120.175,28.852,32.846,29.974,28.503,347.2,True,False
43,Jack MILLER,DUCATI,,AUS,2,Slick-Medium,Slick-Medium,7,123.925,32.152,31.01,29.06,31.703,136.8,False,False
43,Jack MILLER,DUCATI,,AUS,3,Slick-Medium,Slick-Medium,9,128.438,33.245,32.207,30.089,32.897,165.1,False,False
43,Jack MILLER,DUCATI,,AUS,3,Slick-Medium,Slick-Medium,10,116.552,25.654,30.422,28.835,31.641,345.0,False,False
43,Jack MILLER,DUCATI,,AUS,3,Slick-Medium,Slick-Medium,11,115.533,25.234,30.211,28.683,31.405,347.2,False,False
43,Jack MILLER,DUCATI,,AUS,3,Slick-Medium,Slick-Medium,12,115.112,25.09,30.084,28.542,31.396,347.2,False,False
43,Jack MILLER,DUCATI,,AUS,3,Slick-Medium,Slick-Medium,13,116.382,25.416,30.333,28.885,31.748,348.3,False,False
20,Fabio QUARTARARO,YAMAHA,Monster Energy Yamaha MotoGP,FRA,1,Slick-Medium,Slick-Medium,1,189.662,33.342,33.104,29.744,32.541,164.1,False,False
20,Fabio QUARTARARO,YAMAHA,Monster Energy Yamaha MotoGP,FRA,1,Slick-Medium,Slick-Medium,2,116.869,25.68,30.678,28.688,31.823,341.7,False,False
20,Fabio QUARTARARO,YAMAHA,Monster Energy Yamaha MotoGP,FRA,1,Slick-Medium,Slick-Medium,3,116.084,25.561,30.251,28.517,31.755,342.8,False,False
20,Fabio QUARTARARO,YAMAHA,Monster Energy Yamaha MotoGP,FRA,1,Slick-Medium,Slick-Medium,4,115.65,25.28,30.168,28.513,31.689,342.8,False,False
